Process Count,Average Time (seconds),Average Time (nano seconds),Repeat 1,Repeat 2,Repeat 3,Repeat 4,Repeat 5
1, .071684172,71684172.200000000 ,71181091,72675901,70691692,72652922,71219255
2, .107476398,107476398.800000000 ,110245265,107143935,106449111,106427929,107115754
3, .165865285,165865285.000000000 ,164926792,163706292,166126787,167116296,167450258
4, .212993616,212993616.400000000 ,213228815,214367090,214122191,211489056,211760930
5, .337877031,337877031.800000000 ,264366936,353321893,367363641,352665330,351667359
6, .469787980,469787980.000000000 ,495778107,522540945,413385190,408066388,509169270
7, .529539255,529539255.000000000 ,533887961,506459170,524357084,514475662,568516398
8, .586922686,586922686.000000000 ,526653460,536943393,605818371,632960273,632237933
9, .642014110,642014110.400000000 ,675282238,695741325,533302316,676553119,629191554
10, .774508693,774508693.000000000 ,772649464,728906032,774676283,806885171,789426515
11, .854924968,854924968.000000000 ,880626204,869351390,742761032,922664661,859221553
12, 1.018587436,1018587436.600000000 ,1044730495,980436725,1002681643,990472511,1074615809
13, 1.166113318,1166113318.200000000 ,1143526662,1150606235,1123503254,1177994428,1234936012
14, 1.322172223,1322172223.200000000 ,1340923623,1341406798,1265679982,1268634157,1394216556
15, 1.446772632,1446772632.200000000 ,1483944470,1365627155,1427912141,1480826877,1475552518
